Ground Truth (GT),LR (3000),Att(4000) (proper weights),LIG (5000),LIME (5000),LxA(5000),,Att (1400),Correct Att (3500),Correct LR (1500),,,"GT with ,","LR with ,","Att with ,","LIG with ,","LIME with ,","LxA with ,"
,coughed,boost,obscure,floating,tim,,,ignored,,,,,,,,,
,varying,balancing,fathers,center,revolution,,,came,,,,,,,,,
,hooks,mounting,survivors,trade,precisely,,,places,,,,,,,,,
,carries,influenced,impacts,memorial,stalls,,,piano,,,,,,,,,
,oliver,sterling,blade,behavior,gear,,,teacher,,,,,,,,,
,lens,mill,wear,appearance,huge,,,trick,,,,,,,,,
,irresistible,apollo,erotic,guest,loneliness,,,increasingly,,,,,,,,,
,hussein,translation,uncanny,episode,search,,,features,,,,,,,,,
,saddam,boasts,mann,plays,disappointing,,,served,,,,,,,,,
,operative,chamber,cultivation,creek,notwithstanding,,,usually,,,,,,,,,
,irrational,poking,readily,fast,maintains,,,five,,,,,,,,,
,eyelids,alternately,devotion,asleep,pop,,,worked,,,,,,,,,
,exposition,unknown,access,forest,inspirational,,,development,,,,,,,,,
,losing,ironic,raised,company,pat,,,minute,,,,,,,,,
,incorporate,communal,godfrey,artificial,corpus,,,visit,,,,,,,,,
,chemistry,holmes,abandoned,pair,jerking,,,seconds,,,,,,,,,
,concludes,signing,slim,mountain,dubbed,,,phrase,,,,,,,,,
,tremble,convince,introducing,voice,visible,,,julia,,,,,,,,,
,gibson,yearning,rode,demons,pathetic,,,roberts,,,,,,,,,
,control,relevant,zipper,blank,conditioning,,,certain,,,,,,,,,
,willis,operative,journalism,driven,outside,,,realize,,,,,,,,,
,creators,gradually,threat,dual,effect,,,separate,,,,,,,,,
,slap,raise,expense,hybrid,essence,,,FALSE,,,,,,,,,
,wrestling,hop,nonsense,faces,translating,,,structure,,,,,,,,,
,doomed,drains,snaps,flow,turkey,,,weight,,,,,,,,,
,weep,emphasis,struggle,paul,prior,,,devices,,,,,,,,,
,norton,wisdom,critical,abstract,hang,,,conventional,,,,,,,,,
,edward,slapping,convinced,needed,documented,,,manhattan,,,,,,,,,
,illuminating,ace,lucky,jones,expected,,,rage,,,,,,,,,
,camouflage,grain,eye,participation,popcorn,,,exactly,,,,,,,,,
,jonah,stein,adherents,smell,croatia,,,9,,,,,,,,,
,freud,borrowed,trombone,gave,word,,,firing,,,,,,,,,
,shining,suffers,possess,previously,america,,,research,,,,,,,,,
,static,loosely,crawl,yale,randall,,,market,,,,,,,,,
,photographed,funeral,embarrassment,grew,tensions,,,legal,,,,,,,,,
,mendes,haul,shorts,twisted,insights,,,event,,,,,,,,,
,unprecedented,shirley,unrelated,friendship,dong,,,account,,,,,,,,,
,battlefield,rosario,strained,demand,pushes,,,revolutionary,,,,,,,,,
,drawing,singh,uncomfortably,bond,families,,,chance,,,,,,,,,
,absorb,noir,disappointment,constant,holds,,,air,,,,,,,,,
,arbitrary,abyss,deliver,offers,eyre,,,moment,,,,,,,,,
,darkly,depths,figures,leads,lee,,,pages,,,,,,,,,
,enters,flush,imaginative,connection,she,,,centuries,,,,,,,,,
,accurate,revealed,condensed,identification,said,,,spiritual,,,,,,,,,
,relevance,lesser,digest,built,talk,,,stages,,,,,,,,,
,daytime,relying,composition,lots,interior,,,tossed,,,,,,,,,
,owen,angels,viewed,hotels,examine,,,studios,,,,,,,,,
,derived,reassuring,angle,smaller,party,,,laboratory,,,,,,,,,
,victims,allen,somber,cut,arguments,,,risk,,,,,,,,,
,heritage,socially,hand,mainstream,catches,,,actions,,,,,,,,,
,proceedings,toss,credible,charge,missing,,,concerned,,,,,,,,,
,adds,releases,mature,river,hoffman,,,later,,,,,,,,,
,humble,sequence,ensuing,experiences,newcomer,,,left,,,,,,,,,
,solemn,`,mclaughlin,bears,susan,,,remaining,,,,,,,,,
,motivation,aims,ninety,spent,feat,,,critics,,,,,,,,,
,paint,certified,scratches,existing,third,,,jonathan,,,,,,,,,
,improvement,believing,commerce,photos,harmless,,,falling,,,,,,,,,
,soldiers,accumulate,subtly,got,vulnerability,,,explains,,,,,,,,,
,spiked,divorce,combines,creates,adequately,,,longer,,,,,,,,,
,listening,axel,thirst,call,miraculous,,,signs,,,,,,,,,
,lawrence,omitted,ballistic,la,fills,,,produce,,,,,,,,,
,textbook,distinguish,waltz,marks,sack,,,drug,,,,,,,,,
,barbed,monumental,provoke,note,weave,,,david,,,,,,,,,
,riot,suggests,older,friend,eerie,,,songs,,,,,,,,,
,tied,ventures,blackout,chris,uncertain,,,ones,,,,,,,,,
,operatic,settings,collapses,columbus,battle,,,model,,,,,,,,,
,limbs,players,consciousness,basic,present,,,text,,,,,,,,,
,suspend,purposes,conceptual,affected,morally,,,proved,,,,,,,,,
,disbelief,chest,accident,workshops,bankrupt,,,played,,,,,,,,,
,styled,accountant,puzzle,practice,veil,,,court,,,,,,,,,
,honesty,rake,sorority,ancient,shine,,,case,,,,,,,,,
,traditions,bound,naturally,foundation,releases,,,benefit,,,,,,,,,
,pbs,shaped,corpse,relative,comedian,,,committed,,,,,,,,,
,contradictory,randall,siege,remove,racist,,,presence,,,,,,,,,
,smashing,deserved,gravity,elizabeth,example,,,plate,,,,,,,,,
,effortlessly,padded,popular,objective,song,,,including,,,,,,,,,
,straining,rally,climax,sung,editing,,,web,,,,,,,,,
,dinner,hubert,neil,carol,extreme,,,alive,,,,,,,,,
,analyze,renowned,jealousy,product,values,,,kong,,,,,,,,,
,sparks,russian,tenderly,goals,strength,,,park,,,,,,,,,
,cumulative,shades,delivery,project,confident,,,assume,,,,,,,,,
,visionary,tier,christopher,dollars,directors,,,figured,,,,,,,,,
,creed,glee,classify,elsewhere,abandon,,,forced,,,,,,,,,
,ferrara,instincts,scores,italian,scripts,,,dismissed,,,,,,,,,
,abel,legendary,direct,century,terms,,,williams,,,,,,,,,
,reliance,paranoia,warrior,france,stephen,,,source,,,,,,,,,
,weighted,plastered,proud,20th,richer,,,louis,,,,,,,,,
,toilet,surrender,autobiographical,crimes,randolph,,,system,,,,,,,,,
,uncle,hue,sincerely,shopping,publishing,,,child,,,,,,,,,
,academy,orlando,crafted,mall,welles,,,towards,,,,,,,,,
,equation,wooden,convention,silent,hearst,,,spanish,,,,,,,,,
,molina,christian,urgently,series,william,,,workers,,,,,,,,,
,mexican,prospect,gasping,fan,wicked,,,revolution,,,,,,,,,
,arresting,web,workings,opportunity,hollow,,,tim,,,,,,,,,
,prevention,completion,gaza,spin,tops,,,compared,,,,,,,,,
,craven,possibilities,heightened,bags,burning,,,arthur,,,,,,,,,
,soul,outsiders,virtues,allow,passes,,,spring,,,,,,,,,
,warriors,beginnings,harm,suit,unless,,,gear,,,,,,,,,
,transparent,americans,cameo,leading,unchanged,,,huge,,,,,,,,,
,mick,televised,depression,revealed,portrayed,,,gap,,,,,,,,,
,hewitt,curtains,abyss,ordinary,ring,,,spend,,,,,,,,,
,inadequate,described,sinks,brought,groundbreaking,,,technology,,,,,,,,,
,adrenaline,whale,eroded,assembly,spectacular,,,search,,,,,,,,,
,lowered,chasing,madonna,performing,musicals,,,finished,,,,,,,,,
,giggle,hopeful,ear,kick,30,,,comparison,,,,,,,,,
,gang,memorial,rhythm,encounter,sensual,,,pop,,,,,,,,,
,preserving,daddy,flawed,talked,updated,,,status,,,,,,,,,
,disgust,korea,comprehend,ethics,cerebral,,,pat,,,,,,,,,
,slip,investigate,treat,animal,forwards,,,identity,,,,,,,,,
,tendency,scenes,lifts,club,prism,,,visible,,,,,,,,,
,lectures,rounded,gloss,fisher,innocent,,,outside,,,,,,,,,
,vh1,inspirational,regain,focus,inherently,,,sole,,,,,,,,,
,terrorist,expression,conventions,happiness,betrayal,,,effect,,,,,,,,,
,gaze,controversial,manipulation,occasionally,panic,,,novels,,,,,,,,,
,chuckles,human,optimism,james,glued,,,turkey,,,,,,,,,
,sheridan,armed,hughes,picked,manage,,,prior,,,,,,,,,
,stylized,contest,elder,colored,pow,,,hang,,,,,,,,,
,hilary,cartoon,sheds,feast,sick,,,sorry,,,,,,,,,
,birmingham,knocks,musical,seriously,range,,,fame,,,,,,,,,
,disagree,pristine,terror,let,odds,,,choose,,,,,,,,,
,rules,lowered,horrific,hair,starving,,,expected,,,,,,,,,
,89,flow,intentions,slightly,jolly,,,english,,,,,,,,,
,sensitivity,lavish,smiles,ignored,broadway,,,america,,,,,,,,,
,muddy,colorful,owes,came,occupation,,,word,,,,,,,,,
,israel,teen,genesis,places,express,,,russian,,,,,,,,,
,accountant,biting,display,piano,cares,,,speaking,,,,,,,,,
,precision,numb,fitting,teacher,spirited,,,highest,,,,,,,,,
,michel,audiences,naval,trick,awakening,,,families,,,,,,,,,
,probe,connect,tears,increasingly,fathers,,,holds,,,,,,,,,
,aspirations,accomplished,frightening,features,complaint,,,becoming,,,,,,,,,
,charms,mattered,surely,served,survivors,,,lee,,,,,,,,,
,gay,marriage,amid,usually,wear,,,she,,,,,,,,,
,conservative,marry,morality,five,erotic,,,said,,,,,,,,,
,suspected,nation,futuristic,worked,arrangements,,,trust,,,,,,,,,
,privy,compromise,autopsy,development,uncanny,,,talk,,,,,,,,,
,garnered,strokes,lobby,minute,cultivation,,,interior,,,,,,,,,
,fool,contrast,corner,visit,access,,,party,,,,,,,,,
,underlying,graduated,bravery,seconds,damn,,,telling,,,,,,,,,
,kenneth,canon,circuit,phrase,80,,,missing,,,,,,,,,
,superhero,embrace,minnie,julia,choice,,,hunter,,,,,,,,,
,intellect,election,spontaneous,roberts,paid,,,rising,,,,,,,,,
,arrow,pulls,interaction,workshop,godfrey,,,jake,,,,,,,,,
,kissing,broadway,cellular,duration,beacon,,,susan,,,,,,,,,
,stein,relationships,card,lonely,natural,,,third,,,,,,,,,
,pencil,meaningful,palette,certain,slim,,,restored,,,,,,,,,
,defiance,disney,sports,realize,rode,,,rocks,,,,,,,,,
,pollution,technical,savage,separate,corn,,,studied,,,,,,,,,
,achieving,ties,cunning,FALSE,candy,,,dependent,,,,,,,,,
,consolation,extraordinary,gaunt,structure,zipper,,,night,,,,,,,,,
,famous,tolerate,dimension,weight,reflective,,,brian,,,,,,,,,
,sorrow,ocean,hell,tang,blood,,,present,,,,,,,,,
,intensely,1999,wasted,filling,journalism,,,battle,,,,,,,,,
,object,maintains,tiny,devices,nonsense,,,releases,,,,,,,,,
,glucose,benefits,participant,conventional,snaps,,,latest,,,,,,,,,
,revelation,risks,rushed,manhattan,struggle,,,position,,,,,,,,,
,atmospheric,climbing,garcia,rage,convinced,,,comfort,,,,,,,,,
,encounters,content,immensely,exactly,tens,,,song,,,,,,,,,
,horizons,bind,fees,firing,lucky,,,example,,,,,,,,,
,hole,reynolds,technological,research,killer,,,values,,,,,,,,,
,boredom,knees,concentrating,market,eye,,,extreme,,,,,,,,,
,insistence,ad,retaliation,legal,accept,,,strength,,,,,,,,,
,accurately,powerhouse,sadly,witnesses,adherents,,,opposed,,,,,,,,,
,turmoil,motions,depict,event,trombone,,,extent,,,,,,,,,
,83,immune,homosexual,account,sin,,,cutting,,,,,,,,,
,hartley,specimen,relationship,revolutionary,appreciated,,,directors,,,,,,,,,
,pill,accumulated,laced,chance,possess,,,terms,,,,,,,,,
,reminder,gamble,seek,drives,embarrassment,,,operates,,,,,,,,,
,significance,shanghai,flash,unlikely,rotten,,,fact,,,,,,,,,
,anarchist,boiling,wise,air,single,,,com,,,,,,,,,
,seductive,corruption,distinguished,outcome,applies,,,stephen,,,,,,,,,
,meaningless,fights,woodland,moment,crazy,,,took,,,,,,,,,
,responsibility,sadness,tortured,pages,uncomfortably,,,william,,,,,,,,,
,sink,dialogue,projectile,centuries,lines,,,peter,,,,,,,,,
,bid,structures,seizing,spiritual,reading,,,provided,,,,,,,,,
,detailed,examination,thousand,stages,figures,,,publishing,,,,,,,,,
,demise,equation,portrays,tossed,disregard,,,scholar,,,,,,,,,
,embedded,forgiven,gratitude,lifestyle,imaginative,,,list,,,,,,,,,
,documentaries,crossover,reign,studios,condensed,,,burning,,,,,,,,,
,anne,pursued,dragons,laboratory,expert,,,useful,,,,,,,,,
,sway,witnesses,models,risk,composition,,,passes,,,,,,,,,
,aliens,credits,bag,actions,viewed,,,unless,,,,,,,,,
,politically,ford,grin,concerned,angle,,,wars,,,,,,,,,
,mysteries,marquis,managed,consequences,somber,,,portrayed,,,,,,,,,
,lodging,millions,wang,later,credible,,,ring,,,,,,,,,
,adam,touching,corrupt,left,mature,,,30,,,,,,,,,
,technologies,summons,myself,remaining,highlighted,,,credit,,,,,,,,,
,tunnels,assignment,satan,critics,pro,,,craig,,,,,,,,,
,attackers,stab,disguise,jonathan,con,,,updated,,,,,,,,,
,anonymous,gain,surrender,swift,complications,,,table,,,,,,,,,
,primitive,backgrounds,throwing,falling,stars,,,diesel,,,,,,,,,
,laurence,beacon,sane,trap,mclaughlin,,,flows,,,,,,,,,
,olivier,critics,span,explains,layer,,,themes,,,,,,,,,
,gun,swim,held,longer,scratches,,,code,,,,,,,,,
,prevalent,sympathetic,odd,signs,house,,,noble,,,,,,,,,
,freddie,visual,sound,produce,commerce,,,innocent,,,,,,,,,
,taylor,seas,settles,drug,stunning,,,interested,,,,,,,,,
,harvard,mount,expectation,david,subtly,,,panic,,,,,,,,,
,encompasses,workings,profound,songs,combines,,,sweat,,,,,,,,,
,paths,tourists,compressed,ones,thirst,,,did,,,,,,,,,
,contender,soldiers,catalyst,model,ballistic,,,manage,,,,,,,,,
,reynolds,wars,restrictive,text,provoke,,,wants,,,,,,,,,
,depleted,assurance,dubious,proved,older,,,sick,,,,,,,,,
,decomposition,sleeper,bodies,played,former,,,african,,,,,,,,,
,swaying,economical,leather,court,blackout,,,range,,,,,,,,,
,gently,knockout,cheer,case,collapses,,,rise,,,,,,,,,
,ounce,tense,secretary,benefit,conceptual,,,broadway,,,,,,,,,
,strategic,destined,stepmother,committed,accident,,,german,,,,,,,,,
,define,beneath,inevitable,presence,somebody,,,express,,,,,,,,,
,helm,dragons,incarnation,commanding,steady,,,inner,,,,,,,,,
,philosophers,columbus,indians,plate,seemingly,,,occupation,,,,,,,,,
,ritchie,cheering,sober,including,puzzle,,,blade,,,,,,,,,
,bonding,cheer,ten,staged,boys,,,wear,,,,,,,,,
,miniseries,assign,circle,web,sorority,,,shock,,,,,,,,,
,disciplined,technique,chain,spinning,naturally,,,arrangements,,,,,,,,,
,ironic,shadows,forming,alive,siege,,,danger,,,,,,,,,
,endurance,triangles,distinguishing,kong,corpse,,,access,,,,,,,,,
,tightened,suited,wallace,scope,springs,,,damn,,,,,,,,,
,collaborative,daring,shaken,park,area,,,80,,,,,,,,,
,apollo,endure,transparency,assume,imagined,,,choice,,,,,,,,,
,ai,nazi,enormous,figured,climax,,,paid,,,,,,,,,
,continuity,gibson,afternoon,forced,neil,,,raised,,,,,,,,,
,ambrose,indie,hampered,dismissed,jealousy,,,natural,,,,,,,,,
,leaps,crucial,random,williams,tenderly,,,abandoned,,,,,,,,,
,boundaries,obligation,notion,source,christopher,,,101,,,,,,,,,
,unnamed,piercing,terrifying,louis,classify,,,eating,,,,,,,,,
,stretched,feral,possesses,system,direct,,,cotton,,,,,,,,,
,ambition,deaths,proficiency,child,scores,,,parents,,,,,,,,,
,improvised,kitten,technical,towards,autobiographical,,,settle,,,,,,,,,
,tapestry,intellectual,brand,spanish,sincerely,,,blood,,,,,,,,,
,gel,hitting,breath,workers,aging,,,threat,,,,,,,,,
,roles,dose,professors,revolution,urgently,,,struggle,,,,,,,,,
,honorable,rapid,whom,tim,mercy,,,reputation,,,,,,,,,
,ambiguity,odds,contradiction,compared,workings,,,critical,,,,,,,,,
,symbolic,curiosity,searing,arthur,gaza,,,convinced,,,,,,,,,
,assert,conservative,lifetime,spring,virtues,,,lucky,,,,,,,,,
,contenders,politics,letting,gear,imagine,,,anthony,,,,,,,,,
,lean,notion,fearless,huge,harm,,,killer,,,,,,,,,
,feathers,interests,carved,gap,abyss,,,eye,,,,,,,,,
,freedom,sketches,niche,spend,eroded,,,blind,,,,,,,,,
,donovan,ralph,overly,environments,singer,,,teach,,,,,,,,,
,exit,minded,slowly,technology,rhythm,,,ash,,,,,,,,,
,pleas,woven,sophomore,search,flawed,,,enter,,,,,,,,,
,irwin,abroad,slump,finished,comprehend,,,accept,,,,,,,,,
,procedural,impressions,tug,comparison,treat,,,single,,,,,,,,,
,schneider,wit,gender,pop,lifts,,,crazy,,,,,,,,,
,crypt,uk,slack,maintains,gloss,,,grandfather,,,,,,,,,
,peek,sprung,1940s,status,regain,,,lines,,,,,,,,,
,protagonist,affected,amir,pat,within,,,reading,,,,,,,,,
,patriotic,ambitions,70s,identity,bitter,,,figures,,,,,,,,,
,hardened,brightly,prophet,visible,conventions,,,expert,,,,,,,,,
,origins,constraints,larger,boom,manipulation,,,composition,,,,,,,,,
,nazi,majestic,conflict,dubbed,optimism,,,viewed,,,,,,,,,
,decade,jane,vital,outside,elder,,,angle,,,,,,,,,
,yiddish,skirts,recalls,sole,hughes,,,hand,,,,,,,,,
,bouncing,jacques,classics,attraction,afraid,,,number,,,,,,,,,
,practiced,negotiate,sweetly,effect,sheds,,,pro,,,,,,,,,
,annals,historical,infectious,ignoring,terror,,,stars,,,,,,,,,
,forceful,deeper,centered,novels,horrific,,,layer,,,,,,,,,
,innovations,tremble,brooding,turkey,stop,,,house,,,,,,,,,
,despair,misses,hitting,prior,intentions,,,commerce,,,,,,,,,
,replaced,sensual,tainted,hang,smiles,,,cuts,,,,,,,,,
,goth,fling,modest,documented,occasional,,,coffee,,,,,,,,,
,executives,holm,superhuman,sorry,owes,,,nobody,,,,,,,,,
,tongues,silver,withstand,fame,genesis,,,pass,,,,,,,,,
,hoped,20th,capacity,choose,personnel,,,older,,,,,,,,,
,clint,spiral,crush,expected,san,,,former,,,,,,,,,
,illustrating,yarn,conspicuous,croatia,naval,,,drew,,,,,,,,,
,showtime,drawing,develop,english,frightening,,,accident,,,,,,,,,
,whale,provocative,language,america,surely,,,steady,,,,,,,,,
,bitterly,glow,timing,word,amid,,,boys,,,,,,,,,
,lower,tale,require,russian,trailer,,,decisions,,,,,,,,,
,enjoyment,frantic,connect,speaking,morality,,,springs,,,,,,,,,
,admitting,believed,weaponry,highest,futuristic,,,siege,,,,,,,,,
,athlete,intriguing,dungeons,families,elaborate,,,area,,,,,,,,,
,arnold,admitting,toss,holds,autopsy,,,popular,,,,,,,,,
,ambiguous,spiritual,definitions,becoming,coke,,,damage,,,,,,,,,
,combat,showcase,thud,lee,pit,,,neil,,,,,,,,,
,expose,struggle,supposedly,spike,corner,,,christopher,,,,,,,,,
,prejudice,phillip,floor,said,bravery,,,delivery,,,,,,,,,
,screenwriter,paris,interpretation,trust,circuit,,,direct,,,,,,,,,
,enigma,vincent,lyrical,talk,minnie,,,scores,,,,,,,,,
,chiefly,flaws,blockbuster,interior,wig,,,warrior,,,,,,,,,
,yearning,singing,exploitation,party,shop,,,proud,,,,,,,,,
,captain,painting,populated,telling,allowing,,,nose,,,,,,,,,
,singing,punishment,emotion,arguments,spontaneous,,,convention,,,,,,,,,
,lifeless,collar,claw,missing,interaction,,,wins,,,,,,,,,
,near,capture,flower,hunter,cellular,,,closing,,,,,,,,,
,framing,behave,purge,rising,phone,,,struggled,,,,,,,,,
,throws,intricate,triumph,jake,card,,,15,,,,,,,,,
,faint,intact,glow,susan,convenient,,,person,,,,,,,,,
,enjoying,disguise,spends,feat,younger,,,imagine,,,,,,,,,
,alternately,flourish,bunch,third,cad,,,survive,,,,,,,,,
,hopeful,unnamed,marvelous,restored,sports,,,harm,,,,,,,,,
,stacked,begun,shame,rocks,quietly,,,depression,,,,,,,,,
,apparatus,shovel,base,studied,cunning,,,singer,,,,,,,,,
,mechanical,actors,shifted,dependent,savage,,,ear,,,,,,,,,
,compatible,anonymous,wesley,night,gaunt,,,rhythm,,,,,,,,,
,depiction,pill,asia,brian,dimension,,,treat,,,,,,,,,
,artwork,oral,institution,present,graphic,,,cat,,,,,,,,,
,resolution,shear,proposes,battle,submerged,,,within,,,,,,,,,
,embraced,witness,mistress,uncertain,hell,,,ground,,,,,,,,,
,aids,howard,breakthrough,releases,handling,,,elder,,,,,,,,,
,realities,tragic,cheering,latest,wasted,,,afraid,,,,,,,,,
,fide,utilizing,assumes,comedian,participant,,,lord,,,,,,,,,
,pitched,electric,bright,position,garcia,,,musical,,,,,,,,,
,born,captures,recovery,comfort,fees,,,terror,,,,,,,,,
,hug,ai,unmistakable,song,technological,,,stop,,,,,,,,,
,repetition,powerful,capture,example,concentrating,,,obviously,,,,,,,,,
,rivalry,quietly,chaos,values,sadly,,,display,,,,,,,,,
,agile,distinctive,penetrating,extreme,burn,,,san,,,,,,,,,
,proficient,finds,fascination,editing,copy,,,naval,,,,,,,,,
,victim,insistence,operational,strength,relationship,,,tears,,,,,,,,,
,denial,showcases,vague,opposed,homosexual,,,personnel,,,,,,,,,
,factors,steals,mechanics,extent,depict,,,diego,,,,,,,,,
,paxton,targeted,cult,confident,laced,,,chamber,,,,,,,,,
,resistance,stroke,undone,cutting,flash,,,tourism,,,,,,,,,
,levy,forum,smack,directors,wise,,,cultural,,,,,,,,,
,forster,ferrara,hall,terms,distinguished,,,resulted,,,,,,,,,
,armed,yank,inspiration,operates,projectile,,,surely,,,,,,,,,
,seriousness,2002,nicholson,fact,seizing,,,shorter,,,,,,,,,
,employment,traits,brush,com,milk,,,heaven,,,,,,,,,
,cricket,redundant,possibilities,stephen,thousand,,,pit,,,,,,,,,
,vin,fuse,juicy,took,portrays,,,corner,,,,,,,,,
,furiously,honoring,axel,william,gratitude,,,friendly,,,,,,,,,
,brains,core,relies,peter,reign,,,circuit,,,,,,,,,
,athletes,haunted,awareness,provided,dragons,,,staying,,,,,,,,,
,banged,competence,ache,publishing,dancers,,,travel,,,,,,,,,
,screenings,demonstrate,mortal,scholar,models,,,shop,,,,,,,,,
,fumbled,awake,intent,hollow,wearing,,,sell,,,,,,,,,
,canon,amusement,creeping,list,grin,,,allowing,,,,,,,,,
,grown,determine,swear,burning,bag,,,desert,,,,,,,,,
,flesh,drawn,economical,sensation,managed,,,swept,,,,,,,,,
,drastic,wilson,seated,useful,corrupt,,,phone,,,,,,,,,
,capturing,60s,distinctly,passes,myself,,,card,,,,,,,,,
,fantasies,directors,bursts,unless,satan,,,younger,,,,,,,,,
,illness,reunion,establishing,wars,disguise,,,laid,,,,,,,,,
,metaphysical,slack,hospital,portrayed,7,,,sports,,,,,,,,,
,collectively,systematically,ideal,ring,&,,,quietly,,,,,,,,,
,echoes,mercy,body,30,hands,,,peak,,,,,,,,,
,canadians,targets,unbelievable,credit,sane,,,mike,,,,,,,,,
,calculated,moonlight,stretch,craig,span,,,hell,,,,,,,,,
,winds,intelligent,theories,updated,held,,,philosophy,,,,,,,,,
,monsters,merchant,ominous,table,odd,,,surrounded,,,,,,,,,
,swan,appeals,earthly,diesel,sound,,,86,,,,,,,,,
,rally,prominent,costly,flows,uniformly,,,tiny,,,,,,,,,
,psychotic,pointless,myers,themes,settles,,,rushed,,,,,,,,,
,suffer,boundaries,tickets,code,profound,,,garcia,,,,,,,,,
,generating,ambiguous,land,noble,compressed,,,print,,,,,,,,,
,dimensions,foremost,counterparts,strict,catalyst,,,burn,,,,,,,,,
,rigid,grave,schizophrenia,innocent,restrictive,,,copy,,,,,,,,,
,erin,confined,captured,interested,dubious,,,relationship,,,,,,,,,
,devastation,spectacle,warfare,panic,neat,,,amy,,,,,,,,,
,portraying,fleeting,lets,sweat,bodies,,,seek,,,,,,,,,
,disease,generation,primarily,manage,clad,,,flash,,,,,,,,,
,classification,concerning,reside,wants,several,,,mad,,,,,,,,,
,revenge,sentimental,brendan,sick,secretary,,,accused,,,,,,,,,
,sundance,reside,tuned,african,stepmother,,,22,,,,,,,,,
,skins,aspects,raises,range,inevitable,,,distinguished,,,,,,,,,
,smirk,timeless,delivering,rise,ten,,,johnny,,,,,,,,,
,phillip,begins,brink,broadway,incarnation,,,books,,,,,,,,,
,references,hazy,changes,german,indians,,,milk,,,,,,,,,
,succeeded,mainstream,immigrant,express,meets,,,likely,,,,,,,,,
,skyscraper,interpretation,thick,inner,boat,,,thousand,,,,,,,,,
,clouds,peculiar,anguish,occupation,forming,,,reign,,,,,,,,,
,narration,buried,elusive,survivors,chain,,,models,,,,,,,,,
,prolonged,sensation,scares,blade,pick,,,shoulder,,,,,,,,,
,opened,devoid,movement,wear,distinguishing,,,wearing,,,,,,,,,
,record,deepest,competition,shock,wallace,,,clubs,,,,,,,,,
,junk,senses,evaluate,arrangements,transparency,,,bag,,,,,,,,,
,literal,hero,radical,danger,enormous,,,carrying,,,,,,,,,
,rejected,analyze,de,access,cause,,,golf,,,,,,,,,
,settled,demands,sterling,damn,hampered,,,grin,,,,,,,,,
,suggests,improvised,thrusts,80,notion,,,managed,,,,,,,,,
,consistency,determination,backbone,choice,birthday,,,marry,,,,,,,,,
,richly,insults,hook,paid,possesses,,,wang,,,,,,,,,
,neck,resembling,1993,raised,spice,,,myself,,,,,,,,,
,flatly,realm,courageous,natural,proficiency,,,&,,,,,,,,,
,principles,lesbian,allegiance,abandoned,technical,,,7,,,,,,,,,
,unhappy,pawn,sunshine,hopes,crucial,,,hands,,,,,,,,,
,atrocities,turf,pony,finale,considered,,,24,,,,,,,,,
,mythology,seal,backlash,101,immediately,,,decided,,,,,,,,,
,benefited,rendering,prospect,eating,immature,,,throwing,,,,,,,,,
,directs,palette,prominently,cotton,contradiction,,,surrender,,,,,,,,,
,1938,fearless,exceeds,rode,searing,,,records,,,,,,,,,
,holden,predominantly,immersed,candy,rhino,,,held,,,,,,,,,
,leaping,pinnacle,imagery,corn,desirable,,,odd,,,,,,,,,
,traits,hugh,wall,parents,letting,,,sound,,,,,,,,,
,gore,bonds,vaguely,settle,fearless,,,bodies,,,,,,,,,
,nicolas,graham,suited,blood,carved,,,leather,,,,,,,,,
,cage,ambition,intersect,reflect,niche,,,several,,,,,,,,,
,luis,firing,dedicated,journalism,comfortable,,,secretary,,,,,,,,,
,paranoia,jackson,pitted,threat,woody,,,ten,,,,,,,,,
,confronting,relate,shimmering,rope,slowly,,,boat,,,,,,,,,
,phenomenon,resources,asian,struggle,sophomore,,,clean,,,,,,,,,
,viewpoint,unleashed,painting,reputation,slump,,,friday,,,,,,,,,
,content,graphic,reasons,critical,tug,,,meets,,,,,,,,,
,diary,blushing,adolescent,convinced,gender,,,13th,,,,,,,,,
,mild,tribute,shocks,lucky,1940s,,,indians,,,,,,,,,
,stays,thrill,numbered,anthony,70s,,,circle,,,,,,,,,
,leap,reaching,marine,killer,prophet,,,chain,,,,,,,,,
,fuels,widow,padded,eye,nervous,,,forming,,,,,,,,,
,freighter,depth,standardized,blind,pushing,,,pick,,,,,,,,,
,stretches,weep,propaganda,teach,conflict,,,wallace,,,,,,,,,
,enthusiasts,orientation,brushes,allegedly,vital,,,flying,,,,,,,,,
,clown,iranian,bubba,ash,enthusiastic,,,cooper,,,,,,,,,
,ecstasy,persistence,granted,wednesday,recalls,,,amount,,,,,,,,,
,wonders,wasp,details,enter,sweetly,,,cause,,,,,,,,,
,emphasizes,douglas,visuals,accept,indication,,,afternoon,,,,,,,,,
,sessions,rode,majestic,sin,infectious,,,shaped,,,,,,,,,
,conception,tightened,upbeat,single,brooding,,,random,,,,,,,,,
,broadcast,indicative,directorial,shorts,superhuman,,,animals,,,,,,,,,
,accomplishment,torpedo,treasure,crazy,although,,,birthday,,,,,,,,,
,evelyn,landing,worship,grandfather,withstand,,,zero,,,,,,,,,
,embrace,motion,concern,deliver,capacity,,,rating,,,,,,,,,
,sonny,masterpiece,thinks,lines,shooting,,,technical,,,,,,,,,
,station,fiction,repeated,reading,mundane,,,considered,,,,,,,,,
,delicately,pulp,puppets,figures,wave,,,breath,,,,,,,,,
