Ground Truth (GT),LR (3000),Att(4000) (proper weights),LIG (5000),LIME (5000),LxA(5000),,Att (1400),Correct Att (3500),Correct LR (1500),,,"GT with ,","LR with ,","Att with ,","LIG with ,","LIME with ,","LxA with ,"
exploitation,fluid,few,extremes,ending,beautifully,,structured,sometimes,mystery,,,"exploitation,","fluid,","few,","extremes,","ending,","beautifully,"
triumph,had,table,continuum,exploration,poor,,adventurous,dry,concert,,,"triumph,","had,","table,","continuum,","exploration,","poor,"
spends,storytelling,desire,intensity,though,him,,produced,d,cam,,,"spends,","storytelling,","desire,","intensity,","though,","him,"
breakthrough,casts,yet,manages,hold,driving,,jerry,been,authority,,,"breakthrough,","casts,","yet,","manages,","hold,","driving,"
unmistakable,uses,out,flair,ford,subtle,,blair,come,fluid,,,"unmistakable,","uses,","out,","flair,","ford,","subtle,"
capture,pleasures,eye,terrific,pretty,touching,,offering,times,would,,,"capture,","pleasures,","eye,","terrific,","pretty,","touching,"
penetrating,masterpiece,cause,family,damned,be,,somehow,having,further,,,"penetrating,","masterpiece,","cause,","family,","damned,","be,"
fascination,called,amount,entertainment,never,legend,,irritating,already,storytelling,,,"fascination,","called,","amount,","entertainment,","never,","legend,"
economical,lot,dragon,animated,feel,starts,,exercise,care,attractive,,,"economical,","lot,","dragon,","animated,","feel,","starts,"
costly,back,hole,believe,one,sophisticated,,borders,count,talented,,,"costly,","back,","hole,","believe,","one,","sophisticated,"
tuned,forgotten,end,anyone,current,veins,,fascinating,fourth,uses,,,"tuned,","forgotten,","end,","anyone,","current,","veins,"
displays,laugh,think,central,industry,rich,,martial,feature,pleasures,,,"displays,","laugh,","think,","central,","industry,","rich,"
padded,car,simply,parody,recording,joy,,filmed,territory,provide,,,"padded,","car,","simply,","parody,","recording,","joy,"
propaganda,get,would,intriguing,climate,shot,,rhythms,covers,masterpiece,,,"propaganda,","get,","would,","intriguing,","climate,","shot,"
directorial,hopeless,carry,android,corporate,ugly,,slick,$20,kind,,,"directorial,","hopeless,","carry,","android,","corporate,","ugly,"
repeated,charming,club,pulp,circus,digital,,actresses,game,forgotten,,,"repeated,","charming,","club,","pulp,","circus,","digital,"
misery,dialogue,photo,comic,together,exploration,,take,million,twice,,,"misery,","dialogue,","photo,","comic,","together,","exploration,"
willingness,clumsy,done,difference,experience,relentless,,lau,version,car,,,"willingness,","clumsy,","done,","difference,","experience,","relentless,"
pity,sentiment,m,alternating,overall,emptiness,,grant,40,laugh,,,"pity,","sentiment,","m,","alternating,","overall,","emptiness,"
wears,tissues,right,questions,shots,at,,hugh,them,charming,,,"wears,","tissues,","right,","questions,","shots,","at,"
assurance,betrayed,moved,moments,aerial,ending,,stay,cross,pure,,,"assurance,","betrayed,","moved,","moments,","aerial,","ending,"
impact,surprisingly,fact,artworks,men,just,,insight,he,their,,,"impact,","surprisingly,","fact,","artworks,","men,","just,"
sly,makeup,how,stale,women,though,,urban,has,answers,,,"sly,","makeup,","how,","stale,","women,","though,"
emerges,bourne,type,yet,total,hold,,celebration,off,dialogue,,,"emerges,","bourne,","type,","yet,","total,","hold,"
static,conviction,describe,wisdom,carried,feel,,bridge,again,clumsy,,,"static,","conviction,","describe,","wisdom,","carried,","feel,"
photographed,brings,kids,washington,lack,never,,warm,once,sentiment,,,"photographed,","brings,","kids,","washington,","lack,","never,"
arbitrary,proper,family,respectable,sounds,one,,energy,lost,surprisingly,,,"arbitrary,","proper,","family,","respectable,","sounds,","one,"
riot,role,different,showcase,ideas,mergers,,water,performance,conviction,,,"riot,","role,","different,","showcase,","ideas,","mergers,"
